Filtered results,
EG.75L,0.19706016943886895,-1.295503930250538
CH.322C,0.1275253851417989,-1.532038873624356
FD.111L,0.2731536824396318,-1.0996828577642888
CC.266L,0.22591916689937303,-1.2157128619752078
BH.88C,0.35129918885577094,-0.9348539974886345
GH.226C,0.9762322588688261,0.029840678278053315
EC.83C,0.4612925722156853,0.738534051136746
GD.318C,0.8592304137871084,0.17764545736411025
AD.92L,0.9956916442245136,0.005408410018443799
BF.148C,0.9309526545991165,-0.08678543059986274
CD.800C,0.9092538312973493,0.11416377627620006
BF.134C,0.5016397793132872,0.6734581864153726
DF.250L,0.726449499657648,0.350474412510795
GD.136C,0.44499845982110287,0.7656978116821632
HH.440L,0.6025482220239888,0.521788603609122
BF.128C,0.1771323916708434,1.355690074905532
HH.117C,0.16482153111855496,1.3955058295711917
GD.296C,0.3615560771491355,0.9150570663310027
DF.328C,0.3336872031617609,0.9696817473544861
FD.98C,0.4911051984209537,0.6901614315254673
CD.87L,0.9105357843395885,0.11254293932350841
DF.65L,0.9032172583360688,0.12179358586440109
HH.171C,0.8572819761186774,0.18012917926727126
AD.112L,0.7096385645758411,0.3730174849816682
BH.109L,0.8238467710122926,0.22297010329629832
HH.90L,0.6942487361131113,0.39381938511849307
ANL2,0.2280290943546531,-1.2101489163678525
GH.250C,0.11484944903296095,-1.5855680251319964
GA1,0.09471351839575778,-1.6811292618329956
C6L9,0.34785856507765744,-0.9415536510481559
T7M24,0.4880964957719107,-0.6949673977264319
CD.730C,0.7572462033752743,-0.30963541752299023
CH.169C,0.46998585485057487,-0.7242458602849181
EC.306L,0.9573121685621413,-0.05361290692354693
BH.92L,0.9322292447829204,0.08517870275680306
FD.154L,0.8217668776516067,0.22564792318479254
CH.238C,0.9824776425140059,-0.021997579253310178
SC5,0.93110308716637,0.08659499616509338
CD.329C,0.7014578208176283,-0.3840498884347352
FD.167L,0.7860379632706322,0.2719207354934873
CH.70L,0.6903129407153201,0.3991618617003421
HH.159C,0.8068036108460962,0.24496213633801492
GB.490C,0.5295828622326708,0.6300333378455859
VPMH47,0.7486909129610508,0.32092553745179786
VPMH19,0.8576881997738175,-0.17961087894605302
GB.750C,0.982618784282575,0.021820361365852987
BH.342C,0.8619576779429281,-0.17416636391310786
FD.207L,0.4169283109901877,0.8139116107941143
CH.690C,0.575797111556622,0.5606988272329528
AD.292L,0.88756473848225,0.14161618331202372
BH.144L,0.8576027205440162,0.17972180761540787
EC.198L,0.6250170318765984,-0.48971188036545094
